smiles,Conjugated Rings Count
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[O-][Yb],0
F[Yb],0
[Yb]C1=[N+]2C(=Nc3c4ccccc4c([Lu])n3[B-]2([Ta])[W])c2ccccc21,4
F[Yb],0
[Yb]C1COCCN1,0
[Yb]c1ccc([Lu])cc1,1
F[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CS(=O)(=O)[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
C[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=c1cnc([Yb])n[nH]1,1
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cn([Lu])nn1,1
N[Yb],0
O=C1c2ccccc2S(=O)(=O)c2ccc([Yb])cc21,2
[Yb]c1cccn1[Lu],1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]C1CCN([Lu])CC1,0
O[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1c[nH]nc1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=c1nc[nH]c([Yb])n1,1
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nc([Lu])n[nH]1,1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C(O)[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
